Name,Latin name,Other names,Relative growing difficulty,Growing difficulty : Soil,Growing difficulty : Pests,Care difficulty,Height,Planting distance,Sowing depth,Coldest USDA hardiness zone,Category,Scientific family,Plant group,Can be harvested from year,Plant diseases,Pests,Soil PH,Preferred soil type,Sunshine needed,Soil drainage,Zone 2 - Time to plant,Zone 2 - Time to harvest,Zone 3 - Time to plant,Zone 3 - Time to harvest,Zone 4 - Time to plant,Zone 4 - Time to harvest,Zone 5 - Time to plant,Zone 5 - Time to harvest,Zone 6 - Time to plant,Zone 6 - Time to harvest,Zone 7 - Time to plant,Zone 7 - Time to harvest,Zone 8 - Time to plant,Zone 8 - Time to harvest,Zone 9 - Time to plant,Zone 9 - Time to harvest,Zone 10 - Time to plant,Zone 10 - Time to harvest,Zone 11 - Time to plant,Zone 11 - Time to harvest,Image URL
Carola Potato,Solanum tuberosum (Phureja Group),,4,4,3,5,27,10,4,3,Root and tuberous,Solanaceae,Potato,0,"Early blight,Late blight,Scab,","Aphids,Colorado potato beetles,Flea beetles,Leafhoppers,","Acidic,","Sandy,","Full sun,","Loose,Well-drained,",,,"June,May,","August,July,October,September,","June,May,","August,July,October,September,","April,March,May,","August,July,June,May,October,September,","April,March,May,","August,July,June,May,October,September,","April,March,","August,July,June,May,September,","April,March,","August,July,June,May,September,","April,March,October,September,","August,December,July,June,May,November,October,September,","April,March,October,September,","August,December,July,June,May,November,October,September,",,,https://cdn.sympathink.com/wp-content/uploads/cardoon-artichoke-thistle-cynara-cardunculusaltilis-60x41.jpg
Carrot,Daucus carota subsp. sativus,,3,5,2,3,12,3,0.5,3,Root and tuberous,Apiaceae,Carrot,0,"Aster yellow disease,","Carrot rust flies,Carrot weevils,Flea beetles,Leafhoppers,Slugs,Wireworms,","Neutral,Slightly acidic,","Sandy,","Full sun,","Well-drained,",,,"August,July,June,May,","August,July,October,September,","August,July,June,May,","August,July,October,September,","April,August,July,June,May,September,","August,July,June,November,October,September,","April,August,July,June,May,September,","August,July,June,November,October,September,","April,","July,June,","April,","July,June,","April,August,February,July,June,March,May,October,September,","April,August,December,July,June,May,November,October,September,","April,August,February,July,June,March,May,October,September,","April,August,December,July,June,May,November,October,September,",,,https://cdn.sympathink.com/wp-content/uploads/carrot-daucus-carota-60x45.jpg
Cassava,Manihot esculenta,"Manioc, Yuca, Mandioca, Brazilian arrowroot",1,1,3,1,24,38,12,5,Root and tuberous,Euphorbiaceae,No group,0,"Bacteria,Mosaic virus,Mycoses,","Ants,Aphids,Beetles,Locusts,","Acidic,Alkaline,Neutral,","Clay,Loam,Sandy,","Full sun,","Well-drained,",,,,,,,"May,","July,","May,","July,","May,","July,","April,","June,","March,","June,","February,","April,",,,https://cdn.sympathink.com/wp-content/uploads/cassava-yuca-manioc-manihot-esculenta-60x40.jpg
Catnip,Nepeta cataria ,"Catswort, Catmint",1,4,1,1,18,18,"0,25",3,Herbs,Lamiaceae,No group,0,"No serious disease problems,","Aphids,Whiteflies,","Neutral,Slightly acidic,Slightly alkaline,","Loam,","Full sun,","Well-drained,",,,"April,June,March,May,","August,July,June,September,","April,June,March,May,","August,July,June,September,","April,March,May,","August,July,June,September,","April,March,May,","August,July,June,September,","April,February,March,May,","August,July,June,May,September,","April,February,March,May,","August,July,June,May,September,","February,March,","July,June,May,","February,March,","July,June,May,",,,https://cdn.sympathink.com/wp-content/uploads/catnip-nepeta-cataria-60x40.jpg
Cauliflower,Brassica oleracea var. botrytis,,5,1,5,5,18,20,0.5,3,Flowers & flower buds,Brassicaceae,Cauliflower,0,"Black rot,Blackleg,Cabbage yellows,Clubroot,Purple blotch,","Cabbage aphids,Cabbage root maggots,Cabbage worms,Cutworms,Flea beetles,Slugs,Snails,","Neutral,Slightly acidic,Slightly alkaline,","Loam,","Full sun,","Well-drained,",,,"April,August,July,June,March,May,September,","August,July,June,October,September,","April,August,July,June,March,May,September,","August,July,June,October,September,","April,August,July,June,March,May,October,September,","August,July,June,October,September,","April,August,July,June,March,May,October,September,","August,July,June,October,September,","April,August,February,July,June,March,May,October,September,","August,July,June,May,November,October,September,","April,August,February,July,June,March,May,October,September,","August,July,June,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,",,,https://cdn.sympathink.com/wp-content/uploads/cauliflower-brassica-oleracea-botrytis-60x40.jpg
Celeriac,Apium graveolens var. rapaceum,"Celery root, Knob celery, Turnip-rooted celery",5,5,5,4,27,7,0.5,4,Root and tuberous,Apiaceae,Celery,0,"Celery leaf spot,","Celery leafminer,Slugs,Snails,","Neutral,Slightly acidic,","High in organic matter,Loam,","Full sun,Part shade,","Damp soil,Water frequently,",,,,,"May,","August,July,September,","May,","August,July,September,","April,March,","August,July,June,May,","April,March,September,","August,December,February,January,July,June,May,November,","April,March,","August,July,June,May,","February,March,","April,July,June,May,","February,March,","April,July,June,May,",,,https://cdn.sympathink.com/wp-content/uploads/celeriac-knob-celery-apium-graveolens-rapaceum-60x39.jpg
Celery,Apium graveolens,,5,5,5,3,8,8,0.5,3,Leaf,Apiaceae,Celery,0,"Blackheart,Celery mosaic virus,Leaf blights,","Aphids,Cabbage loopers,Cutworms,Tarnished plant bugs,Whiteflies,","Neutral,Slightly acidic,","Loam,","Full sun,Part shade,","Damp soil,Water frequently,",,,"April,February,March,May,","August,July,June,May,September,","April,February,March,May,","August,July,June,May,September,","April,February,March,May,","August,July,June,May,September,","April,February,March,May,","August,July,June,May,September,","April,February,January,March,","April,July,June,May,","April,February,January,March,","April,July,June,May,","December,February,January,March,","April,June,March,May,","December,February,January,March,","April,June,March,May,",,,https://cdn.sympathink.com/wp-content/uploads/celery-apium-graveolens-60x40.jpg
Cherokee Purple Tomato,Solanum lycopersicum,,3,3,3,3,24,18,0.5,3,Fruits,Solanaceae,Tomato,0,"Blossom-end rot,Catface,Early blight,Fusarium wilt,Late blight,Verticillium wilt,","Aphids,Colorado potato beetles,Cutworms,Flea beetles,Tomato hornworms,Whiteflies,","Acidic,","Loam,","Full sun,","High moisture,Well-drained,",,,"April,June,March,May,","August,September,","April,June,March,May,","August,September,","April,March,May,","August,July,September,","April,March,May,","August,July,September,","April,February,March,May,","August,July,September,","April,February,March,May,","August,July,September,","April,August,February,January,July,June,March,May,September,","August,December,July,June,November,October,September,","April,August,February,January,July,June,March,May,September,","August,December,July,June,",,,https://cdn.sympathink.com/wp-content/uploads/cherokee-purple-tomato-solanum-lycopersicum-60x40.jpg
Cherry Roma Tomato,Solanum lycopersicum,,3,3,3,3,24,18,0.5,3,Fruits,Solanaceae,Tomato,0,"Blossom-end rot,Catface,Early blight,Fusarium wilt,Late blight,Verticillium wilt,","Aphids,Colorado potato beetles,Cutworms,Flea beetles,Tomato hornworms,Whiteflies,","Acidic,","Loam,","Full sun,","High moisture,Well-drained,",,,"April,June,March,May,","August,September,","April,June,March,May,","August,September,","April,March,May,","August,July,September,","April,March,May,","August,July,September,","April,February,March,May,","August,July,September,","April,February,March,May,","August,July,September,","April,August,February,January,July,June,March,May,September,","August,December,July,June,November,October,September,","April,August,February,January,July,June,March,May,September,","August,December,July,June,November,",,,https://cdn.sympathink.com/wp-content/uploads/cherokee-purple-tomato-solanum-lycopersicum-60x40.jpg
Cherry Tomato,Solanum lycopersicum,,4,3,3,4,24,18,0.5,3,Fruits,Solanaceae,Tomato,0,"Blossom-end rot,Catface,Early blight,Fusarium wilt,Late blight,Verticillium wilt,","Aphids,Colorado potato beetles,Cutworms,Flea beetles,Tomato hornworms,Whiteflies,","Acidic,","Loam,","Full sun,","High moisture,Well-drained,",,,"April,June,March,May,","August,July,September,","April,June,March,May,","August,July,September,","April,March,May,","August,July,October,September,","April,March,May,","August,July,October,September,","April,February,March,May,","August,July,June,May,","April,February,March,May,","August,July,June,May,","April,August,February,January,July,June,March,May,September,","August,July,June,May,November,October,September,","April,August,February,January,July,June,March,May,September,","August,July,June,May,November,October,September,",,,https://cdn.sympathink.com/wp-content/uploads/cherry-tomato-solanum-lycopersicum-60x44.jpg
Chickpea,Cicer arietinum,"Bengal gram, garbanzo bean, Egyptian pea",2,4,2,2,14,3.5,1.5,3,Podded,Fabaceae,Pea,0,"Ascochyta blight,","Cotton bollworm (helicoverpa armigera),","Slightly acidic,","Loam,","Full sun,","Well-drained,",,,"July,June,May,","August,October,September,","July,June,May,","August,October,September,","June,May,","August,September,","April,June,May,","August,September,","April,June,May,","August,July,September,","April,June,May,","August,July,September,","April,March,October,September,","August,December,January,July,June,","April,March,October,September,","August,December,January,July,June,",,,https://cdn.sympathink.com/wp-content/uploads/chickpea-cicer-arietinum-60x45.jpg
Chicory,Cichorium intybus,Common chicory,1,4,1,1,36,12,0.5,4,Leaf,Asteraceae,No group,0,"No serious disease problems,","No serious pest problems,","Acidic,Neutral,","Loam,","Full sun,Part shade,","Well-drained,",,,,,"April,May,","July,June,","April,May,","July,June,","April,May,","July,June,","April,May,","July,June,","February,March,","April,May,","February,January,","April,March,","January,","March,","January,","March,",https://cdn.sympathink.com/wp-content/uploads/chicory-cichorium-intybus-60x38.jpg
Chinese Artichoke,Stachys affinis,"Crosne, Japanese artichoke, Knotroot, Artichoke betony, Chorogi ",1,2,3,1,18,12,0.5,4,Root and tuberous,Lamiaceae,Artichoke,0,"No serious disease problems,","No serious pest problems,","Acidic,Alkaline,Neutral,","Clay,Loam,Sandy,","Full sun,Part shade,","High moisture,Well-drained,",,,,,"May,","August,July,","May,","August,July,","May,","August,July,","May,","August,July,","May,","August,July,",,,,,,,https://cdn.sympathink.com/wp-content/uploads/chorogi-chinese-artichoke-stachys-affinis-60x40.jpg
Chinese Kale,Brassica oleracea  (Acephala Group),"Gai lan, Chinese broccoli, Jie lan",2,2,1,2,27,15,0.5,2,Leaf,Brassicaceae,Kale,0,"Alternaria,Black rot,Blackleg,Clubroot,","Aphids,Birds,Cabbage loopers,Cabbage root maggots,Cabbage worms,Cutworms,Flea beetles,Nematodes,Slugs,Snails,","Neutral,Slightly acidic,Slightly alkaline,","Loam,","Full sun,Part shade,","Well-drained,","April,July,June,March,May,","August,July,June,May,","April,August,July,June,May,September,","August,July,June,May,October,September,","April,August,July,June,May,September,","August,July,June,May,October,September,","April,August,July,June,May,September,","April,August,July,June,May,October,September,","April,August,July,June,May,September,","April,August,July,June,May,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,",,,https://cdn.sympathink.com/wp-content/uploads/chinese-kale-brassica-oleracea-60x44.jpg
Chinese Yam,Dioscorea polystachya,Cinnamon vine,1,1,1,1,180,12,4,4,Root and tuberous,Dioscoreaceae,No group,3,"No serious disease problems,","No serious pest problems,","Neutral,","Loam,","Full sun,Part shade,","Well-drained,",,,,,"April,March,","August,July,June,May,","April,March,","August,July,June,May,","April,March,","August,July,June,May,","April,March,","August,July,June,May,","April,March,","August,July,June,May,",,,,,,,https://cdn.sympathink.com/wp-content/uploads/chinese-yam-dioscorea-polystachya-60x80.jpg
Chioggia Beet,Beta vulgaris,,2,5,1,4,12,3.5,0.75,3,Root and tuberous,Amaranthaceae,Beet,0,"Cercospora leaf spot (cercospora kikuchii),Root rots,Scab,","Leafminers,","Neutral,","Sandy loam,Silt loam,","Full sun,Part shade,","Well-drained,",,,"August,July,June,May,","August,July,October,September,","August,July,June,May,","August,July,October,September,","August,July,June,May,September,","August,July,November,October,September,","August,July,June,May,September,","August,July,November,October,September,","April,May,","July,June,","April,May,","July,June,","March,October,September,","December,May,November,","March,October,September,","December,May,November,",,,https://cdn.sympathink.com/wp-content/uploads/chioggia-beet-beta-vulgaris-60x40.jpg
Chive,Allium schoenoprasum,,3,2,4,3,8,5,0.5,3,Bulb & stem,Amaryllidaceae,No group,1,"No serious disease problems,","No serious pest problems,","Slightly acidic,","Loam,Sandy,Sandy loam,","Full sun,Part shade,","Well-drained,",,,"April,March,May,","July,June,","April,March,May,","July,June,","April,February,March,May,","July,June,","April,February,March,May,","July,June,","April,February,March,May,","July,June,","April,February,March,May,","July,June,","December,February,January,March,November,","July,June,","December,February,January,March,November,","July,June,",,,https://cdn.sympathink.com/wp-content/uploads/chive-allium-schoenoprasum-60x45.jpg
Cinnamon Fern,Osmunda cinnamomea,,4,4,5,1,60,30,2,4,Leaf,Dennstaedtiaceae,No group,2,"No serious disease problems,","Slugs,","Acidic,Neutral,Slightly acidic,","Loam,","Full shade,Full sun,Part shade,","High moisture,Well-drained,",,,,,"June,May,","June,May,","April,May,","April,May,","April,May,","April,May,","April,May,","April,May,","April,March,","April,March,","February,March,","February,March,",,,,,https://cdn.sympathink.com/wp-content/uploads/chive-allium-schoenoprasum-60x45.jpg
Collard Green,Brassica oleracea  (Acephala Group),,1,2,1,2,27,15,0.5,3,Leaf,Brassicaceae,No group,0,"Alternaria,Black rot,Blackleg,Clubroot,","Aphids,Cabbage loopers,Cabbage root maggots,Cabbage worms,Cutworms,Flea beetles,Nematodes,Slugs,Snails,","Neutral,Slightly acidic,Slightly alkaline,","Loam,","Full sun,","Well-drained,",,,"April,August,July,June,May,","August,July,June,October,September,","April,August,July,June,May,","August,July,June,October,September,","April,August,July,June,May,September,","August,July,June,October,September,","April,August,July,June,May,September,","August,July,June,October,September,","April,March,","August,July,June,May,November,October,September,","April,March,","August,July,June,May,November,October,September,","April,August,February,July,June,March,May,October,September,","April,August,December,July,June,May,November,October,September,","April,August,February,July,June,March,May,October,September,","April,August,December,July,June,May,November,October,September,",,,https://cdn.sympathink.com/wp-content/uploads/collard-green-brassica-oleracea-60x45.jpg
Common Boneset,Eupatorium perfoliatum,,1,1,1,1,78,36,0.5,4,Herbs,Asteraceae,No group,0,"No serious disease problems,","No serious pest problems,","Acidic,Alkaline,Neutral,","Chalky,Clay,Loam,Sandy,","Full sun,Part shade,","Well-drained,",,,,,"May,","August,July,September,","May,","August,July,September,","April,May,","August,July,June,September,","April,May,","August,July,June,September,","April,March,","August,July,June,May,September,","April,March,","August,July,June,May,September,",,,,,https://cdn.sympathink.com/wp-content/uploads/common-boneset-eupatorium-perfoliatum-60x41.jpg
Common Burdock,Arctium minus,"Lesser burdock, Little burdock, Louse-bur, Button-bur, Cuckoo-button, Wild rhubarb",1,1,1,1,72,18,0.25,2,Root and tuberous,Asteraceae,No group,0,"No serious disease problems,","No serious pest problems,","Neutral,","Sandy,","Full sun,","Well-drained,","June,","August,July,","June,May,","August,July,October,September,","June,May,","August,July,October,September,","June,May,","August,July,October,September,","June,May,","August,July,October,September,","June,May,","August,July,October,September,","April,May,","August,July,June,September,","April,May,","August,July,June,September,","February,March,","April,July,June,May,",,,https://cdn.sympathink.com/wp-content/uploads/common-burdock-arctium-minus-60x55.jpg
Common Purslane,Portulaca oleracea,"Verdolaga, Red root, Pursley",1,1,3,1,10,Scatter,0 (don't cover),7,Leaf,Portulacaceae,Purslane,0,"Black stem,","Slugs,","Neutral,Slightly acidic,Slightly alkaline,","Clay,Loam,Sandy,","Full sun,Part shade,","Well-drained,",,,,,,,,,,,"March,","April,May,","February,","April,March,","January,","February,March,","January,","February,March,","January,","February,March,",https://cdn.sympathink.com/wp-content/uploads/common-burdock-arctium-minus-60x55.jpg
Common Sorrel,Rumex acetosa,"Garden sorrel, spinach dock, narrow-leaved dock",1,2,1,1,9,15,0.5,5,Herbs,Polygonaceae,No group,0,"No serious disease problems,","Aphids,","Acidic,Slightly acidic,","Loam,","Full sun,","High moisture,Well-drained,",,,,,,,"April,","July,June,","April,","July,June,","April,","July,June,","March,","June,May,","February,","April,March,",,,,,https://cdn.sympathink.com/wp-content/uploads/common-garden-sorrel-rumex-acetosa-60x80.jpg
Connover’s Collossal Asparagus,Asparagus officinalis,,4,2,5,3,84,21,8,3,Bulb & stem,Asparagaceae,Asparagus,3,"Crown rot,Fusarium wilt,Rust,","Asparagus beetles,","Neutral,Slightly acidic,Slightly alkaline,","Loam,","Full sun,","Well-drained,",,,"April,March,May,","June,","April,March,May,","June,","April,February,March,May,","May,","April,February,March,May,","May,","April,February,March,","April,May,","April,February,January,March,","April,May,","April,February,January,March,","April,May,",,,,,https://cdn.sympathink.com/wp-content/uploads/common-garden-sorrel-rumex-acetosa-60x80.jpg
Coriander,Coriandrum sativum,"Cilantro, Chinese parsley",2,2,1,4,21,12,0.5,3,Herbs,Apiaceae,No group,0,"Fungal wilt,Mildew,","Aphids,Leafhoppers,","Neutral,Slightly acidic,Slightly alkaline,","Loam,","Full sun,Part shade,","Well-drained,",,,"April,June,March,May,","August,July,June,May,","April,June,March,May,","August,July,June,May,","April,March,May,","July,June,May,","April,March,May,","July,June,May,","April,February,March,May,","July,June,May,","April,February,March,May,","July,June,May,","April,December,February,January,March,","April,February,July,June,March,May,","April,December,February,January,March,","April,February,July,June,March,May,",,,https://cdn.sympathink.com/wp-content/uploads/cilantro-coriander-coriandrum-sativum-60x40.jpg
Cress,Lepidium sativum,Garden cress,1,5,1,1,16,2,0.5,3,Leaf,Brassicaceae,No group,0,"No serious disease problems,","Flea beetles,","Slightly acidic,","Loam,","Full sun,Part shade,","Well-drained,",,,"April,May,October,September,","April,June,May,November,October,September,","April,May,October,September,","April,June,May,November,October,September,","April,May,October,September,","April,August,July,June,May,November,October,September,","April,May,October,September,","April,August,July,June,May,November,October,September,","April,March,November,October,","April,December,June,March,May,November,October,","April,March,November,October,","April,December,June,March,May,November,October,","April,February,March,November,October,","April,December,February,March,May,November,October,","April,February,March,November,October,","April,December,February,March,May,November,October,","April,February,March,November,October,","April,December,February,March,May,November,October,",https://cdn.sympathink.com/wp-content/uploads/cress-lepidium-sativum-60x60.jpg
Crimson Pacific Asparagus,Asparagus officinalis,,4,2,5,3,84,21,8,3,Bulb & stem,Asparagaceae,Asparagus,3,"Crown rot,Fusarium wilt,Rust,","Asparagus beetles,","Neutral,","Loam,","Full sun,Part shade,","Loose soil,",,,"April,March,May,","June,","April,March,May,","June,","April,February,March,May,","May,","April,February,March,May,","May,","April,February,March,","April,May,","April,February,January,March,","April,May,","April,February,January,March,","April,May,",,,,,https://cdn.sympathink.com/wp-content/uploads/cress-lepidium-sativum-60x60.jpg
Cucumber,Cucumis sativus,,4,5,1,5,42,12,0.5,2,Fruits,Cucurbitaceae,Cucumber,0,"Anthracnose,Bacterial wilt,Cucumber mosaic virus,Downy mildew,Leaf spots,Powdery mildew,Scab,","Aphids,Spotted cucumber beetles,Squash vine borers,Striped cucumber beetles,","Neutral,","Loam,","Full sun,","Well-drained,","April,June,May,","August,July,","April,June,May,","August,July,June,","April,June,May,","August,July,June,","May,","August,July,","May,","August,July,","April,August,July,June,May,","August,July,October,September,","April,August,July,June,May,","August,July,October,September,","April,August,May,September,","July,June,May,November,October,","April,August,May,September,","July,June,May,November,October,",,,https://cdn.sympathink.com/wp-content/uploads/cucumber-cucumis-sativus-60x45.jpg
Curly Endive,Cichorium endivia var. crispum,Frisée,5,5,4,4,8,12,0.5,3,Leaf,Asteraceae,Endive,0,"No serious disease problems,","Aphids,","Slightly acidic,","Loam,","Full sun,Part shade,","Well-drained,",,,"August,July,June,May,","August,October,September,","August,July,June,May,","August,October,September,","April,August,July,June,May,","August,July,October,September,","April,August,July,June,May,","August,July,October,September,","April,June,May,","August,July,September,","April,June,May,","August,July,September,","April,August,July,June,March,May,","August,July,June,November,October,September,","April,August,July,June,March,May,","August,July,June,November,October,September,",,,https://cdn.sympathink.com/wp-content/uploads/curly-endive-cichorium-endivia-crispum-60x50.jpg
Curly Kale,Brassica oleracea (Acephala Group),,2,2,1,2,27,15,0.5,2,Leaf,Brassicaceae,Kale,0,"Alternaria,Black rot,Blackleg,Clubroot,","Aphids,Birds,Cabbage loopers,Cabbage root maggots,Cabbage worms,Cutworms,Flea beetles,Nematodes,Slugs,Snails,","Neutral,Slightly acidic,Slightly alkaline,","Loam,","Full sun,Part shade,","Well-drained,","April,July,June,March,May,","August,July,June,May,","April,August,July,June,May,September,","August,July,June,May,October,September,","April,August,July,June,May,September,","August,July,June,May,October,September,","April,August,July,June,May,September,","April,August,July,June,May,October,September,","April,August,July,June,May,September,","April,August,July,June,May,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,",,,https://cdn.sympathink.com/wp-content/uploads/curly-kale-brassica-oleracea-60x40.jpg
Daikon,Raphanus sativus (Longipinnatus group),"Daikon radish, Mooli, Long white radish, Winter radish, Oriental radish, Lobak, Japanese radish, True Daikon, Chai tow",4,5,4,3,18,5.5,0.5,2,Root and tuberous,Brassicaceae,No group,0,"Clubroot,","Cabbage root maggots,","Slightly acidic,","Loam,","Full sun,","Well-drained,","June,","August,","July,","September,","July,","September,","May,","July,","May,","July,","April,","June,","March,September,","December,June,May,November,","February,October,","April,December,January,May,","February,","April,May,","December,","February,March,",https://cdn.sympathink.com/wp-content/uploads/daikon-raphanus-sativus--60x45.jpg
De Cicco Broccoli,Brassica oleracea var. italica,,4,1,4,4,33,16,0.25,3,Flowers & flower buds,Brassicaceae,Broccoli,0,"Clubroot,","Cabbage aphids,Cabbage root maggots,Cabbage worms,Cutworms,Flea beetles,Slugs,Snails,","Neutral,Slightly acidic,Slightly alkaline,","Loam,","Full sun,","Well-drained,",,,"April,August,July,June,March,May,September,","August,July,June,October,September,","April,August,July,June,March,May,September,","August,July,June,October,September,","April,August,July,June,March,May,October,September,","August,July,June,October,September,","April,August,July,June,March,May,October,September,","August,July,June,October,September,","April,August,February,July,June,March,May,October,September,","August,July,June,May,November,October,September,","April,August,February,July,June,March,May,October,September,","August,July,June,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,",,,https://cdn.sympathink.com/wp-content/uploads/de-cicco-broccoli-brassica-oleracea-italica-60x45.jpg
Delicata Squash,Cucurbita pepo,"Peanut squash, Bohemian squash, Sweet potato squash",3,3,2,4,15,24,0.5,3,Fruits,Cucurbitaceae,Squash,0,"Bacterial wilt,Blossom-end rot,Downy mildew,Powdery mildew,Scab,Viruses,","Aphids,Squash bugs,Squash vine borers,Stink bugs,Striped cucumber beetles,","Slightly acidic,","Loam,","Full sun,","Well-drained,",,,"June,","September,","June,","September,","July,June,May,","August,October,September,","July,June,May,","August,October,September,","April,May,","August,July,","April,May,","August,July,","April,March,September,","December,July,June,","April,March,September,","December,July,June,",,,https://cdn.sympathink.com/wp-content/uploads/delicata-squash-cucurbita-pepo-60x45.jpg
Dill,Anethum graveolens,,1,1,1,1,30,18,0.25,3,Herbs,Apiaceae,No group,0,"Leaf spots,Other fungal diseases,","No serious pest problems,","Acidic,Neutral,Slightly alkaline,","Loam,","Full sun,","Well-drained,",,,"April,June,March,May,","August,July,June,May,","April,June,March,May,","August,July,June,May,","April,March,May,","July,June,May,","April,March,May,","July,June,May,","April,February,March,May,","July,June,May,","April,February,March,May,","July,June,May,","April,December,February,January,March,","April,February,July,June,March,May,","April,December,February,January,March,","April,February,July,June,March,May,",,,https://cdn.sympathink.com/wp-content/uploads/dill-anethum-graveolens-60x45.jpg
Dragon Carrot,Daucus carota subsp. sativus,,3,5,2,3,12,3,0.5,3,Root and tuberous,Apiaceae,Carrot,0,"Aster yellow disease,","Carrot rust flies,Carrot weevils,Flea beetles,Leafhoppers,Slugs,Wireworms,","Neutral,Slightly acidic,","Sandy,","Full sun,","Well-drained,",,,"August,July,June,May,","August,July,October,September,","August,July,June,May,","August,July,October,September,","April,August,July,June,May,September,","August,July,June,November,October,September,","April,August,July,June,May,September,","August,July,June,November,October,September,","April,","July,June,","April,","July,June,","April,August,February,July,June,March,May,October,September,","April,August,December,July,June,May,November,October,September,","April,August,February,July,June,March,May,October,September,","April,August,December,July,June,May,November,October,September,",,,https://cdn.sympathink.com/wp-content/uploads/dragon-carrot-daucus-carota-60x45.jpg
Durgesh Cauliflower,Brassica oleracea var. botrytis,,5,1,5,5,18,20,0.5,3,Flowers & flower buds,Brassicaceae,Cauliflower,0,"Black rot,Blackleg,Cabbage yellows,Clubroot,Purple blotch,","Cabbage aphids,Cabbage root maggots,Cabbage worms,Cutworms,Flea beetles,Slugs,Snails,","Neutral,Slightly acidic,Slightly alkaline,","Loam,","Full sun,","Well-drained,",,,"April,August,July,June,March,May,September,","August,July,June,October,September,","April,August,July,June,March,May,September,","August,July,June,October,September,","April,August,July,June,March,May,October,September,","August,July,June,October,September,","April,August,July,June,March,May,October,September,","August,July,June,October,September,","April,August,February,July,June,March,May,October,September,","August,July,June,May,November,October,September,","April,August,February,July,June,March,May,October,September,","August,July,June,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,",,,https://cdn.sympathink.com/wp-content/uploads/dragon-carrot-daucus-carota-60x45.jpg
Early Purple Sprouting Broccoli,Brassica oleracea var. italica,,4,1,4,4,36,18,0.25,3,Flowers & flower buds,Brassicaceae,Broccoli,0,"Clubroot,","Cabbage aphids,Cabbage root maggots,Cabbage worms,Cutworms,Flea beetles,Slugs,Snails,","Neutral,Slightly acidic,Slightly alkaline,","Loam,","Full sun,","Well-drained,",,,"April,August,July,June,March,May,September,","August,July,June,October,September,","April,August,July,June,March,May,September,","August,July,June,October,September,","April,August,July,June,March,May,October,September,","August,July,June,October,September,","April,August,July,June,March,May,October,September,","August,July,June,October,September,","April,August,February,July,June,March,May,October,September,","August,July,June,May,November,October,September,","April,August,February,July,June,March,May,October,September,","August,July,June,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,",,,https://cdn.sympathink.com/wp-content/uploads/early-purple-sprouting-broccoli-brassica-oleracea-italica-60x30.png
Eggplant,Solanum melongena,"Aubergine, Brinjal",4,1,4,5,24,21,0.25,3,Fruits,Solanaceae,No group,0,"Verticillium wilt,","Aphids,Colorado potato beetles,Cutworms,Flea beetles,","Neutral,Slightly acidic,","Sandy,","Full sun,","Well-drained,",,,"April,June,March,May,","August,July,","April,June,March,May,","August,July,","April,February,March,May,","July,June,","April,February,March,May,","July,June,","April,February,March,May,","July,June,","April,February,March,May,","July,June,","April,December,March,","February,June,March,May,","April,December,March,","February,June,March,May,",,,https://cdn.sympathink.com/wp-content/uploads/eggplant-solanum-melongena-60x40.jpg
Elecampane,Inula helenium,"Horse-heal, elfdock",1,1,1,1,54,24,0.5,4,Herbs,Asteraceae,No group,2,"No serious disease problems,","No serious pest problems,","Neutral,Slightly acidic,Slightly alkaline,","Loam,","Full sun,","High moisture,Well-drained,",,,,,"June,May,","October,September,","June,May,","October,September,","June,May,","October,September,","June,May,","October,September,","April,March,","October,September,","April,March,","October,September,",,,,,https://cdn.sympathink.com/wp-content/uploads/elecampane-inula-helenium-60x51.jpg
